Number,Title,Abstract,Keywords
104,An investigation on sliding wear of FDM built parts,"Present work focuses on extensive study to understand the effect of five important parameters such as layer thickness, part build orientation, raster angle, raster width and air gap on the sliding wear of test specimen built through fused deposition modelling process (FDM). The study provides insight into complex dependency of wear on process parameters and proposes a statistically validated predictive equation. Microphotographs are used to explain the mechanism of wear. The equation is used to find optimal parameter setting through quantum-behaved particle swarm optimization (QPSO). As FDM process is highly complex one and process parameters influence the responses in a non linear manner, artificial neural network (ANN) are employed to confirm the results of present study.",
105,Experimental investigation and empirical modelling of FDM process for compressive strength improvement,"Fused deposition modelling (FDM) is gaining distinct advantage in manufacturing industries because of its ability to manufacture parts with complex shapes without any tooling requirement and human interface. The properties of FDM built parts exhibit high dependence on process parameters and can be improved by setting parameters at suitable levels. Anisotropic and brittle nature of build part makes it important to study the effect of process parameters to the resistance to compressive loading for enhancing service life of functional parts. Hence, the present work focuses on extensive study to understand the effect of five important parameters such as layer thickness, part build orientation, raster angle, raster width and air gap on the compressive stress of test specimen. The study not only provides insight into complex dependency of compressive stress on process parameters but also develops a statistically validated predictive equation. The equation is used to find optimal parameter setting through quantum-behaved particle swarm optimization (QPSO). As FDM process is a highly complex one and process parameters influence the responses in a non linear manner, compressive stress is predicted using artificial neural network (ANN) and is compared with predictive equation.",
106,In-situ monitoring additive manufacturing process with AI edge computing,"In-situ monitoring system can be used to monitor the quality of additive manufacturing (AM) processes. In the case of digital image correlation (DIC) based in-situ monitoring systems, high-speed cameras were used to capture images of high resolutions. This paper proposed a novel in-situ monitoring system to accelerate the process of digital images using artificial intelligence (AI) edge computing board. It built a visual transformer based video super resolution (ViTSR) network to reconstruct high resolution (HR) videos frames. Fully convolutional network (FCN) was used to simultaneously extract the geometric characteristics of molten pool and plasma arc during the AM processes. Compared with 6 state-of-the-art super resolution methods, ViTSR ranks first in terms of peak signal to noise ratio (PSNR). The PSNR of ViTSR for 4x super resolution reached 38.16 dB on test data with input size of 75 pixels x 75 pixels. Inference time of ViTSR and FCN was optimized to 50.97 ms and 67.86 ms on AI edge board after operator fusion and model pruning. The total inference time of the proposed system was 118.83 ms, which meets the requirement of real-time quality monitoring with low cost in-situ monitoring equipment during AM processes. The proposed system achieved an accuracy of 96.34% on the multi-objects extraction task and can be applied to different AM processes.",
107,A Transfer Learning-Based Multi-Fidelity Point-Cloud Neural Network Approach for Melt Pool Modeling in Additive Manufacturing,"Melt pool modeling is critical for model-based uncertainty quantification (UQ) and quality control in metallic additive manufacturing (AM). Finite element (FE) simulation for thermal modeling in metal AM, however, is tedious and time-consuming. This paper presents a multifidelity point-cloud neural network method (MF-PointNN) for surrogate modeling of melt pool based on FE simulation data. It merges the feature representations of the low-fidelity (LF) analytical model and high-fidelity (HF) FE simulation data through the theory of transfer learning (TL). A basic PointNN is first trained using LF data to construct a correlation between the inputs and thermal field of analytical models. Then, the basic PointNN is updated and fine-tuned using the small size of HF data to build the MF-PointNN. The trained MF-PointNN allows for efficient mapping from input variables and spatial positions to thermal histories, and thereby efficiently predicts the three-dimensional melt pool. Results of melt pool modeling of electron beam additive manufacturing (EBAM) of Ti-6Al-4V under uncertainty demonstrate the efficacy of the proposed approach.",
108,Development of Cloud-Edge Collaborative Digital Twin System for FDM Additive Manufacturing,"The physical and virtual access of manufacturing equipment to the cloud platform is an important direction of cloud manufacturing research, but the current research results in this direction are not enough to support the ""landing"" and wide application of cloud manufacturing model. In the traditional cloud manufacturing model, the direct access of manufacturing equipment to the cloud brings huge network pressure and unbearable latency, and also poses a privacy and security risk. Aiming at the cloudification of manufacturing equipment in the cloud manufacturing environment, the 3D printer is selected as the research object, and a cloud-edge collaboration architecture for 3D printers based on digital twin is proposed. To solve the lack of network reliability brought about by traditional cloudification, time-sensitive services are deployed at the edge, realizing the local extension of cloud services. The digital twin information model of FDM additive manufacturing is defined. Real time controlling and monitoring based on digital twin is realized. By cloud-edge collaboration, an application case is implemented, which verifies the effectiveness of the system and provides a reference solution for the cloudification of other manufacturing equipment in the environment of cloud manufacturing.",
109,Federated learning-based semantic segmentation for pixel-wise defect detection in additive manufacturing,"Semantic segmentation is a promising machine learning (ML) method for highly precise fine-scale defect detection and part qualification in additive manufacturing (AM). Most existing segmentation methods utilize convolutional neural network architectures that require large quantities of training data. However, obtaining sufficient data—both in quality and quantity—to train such models is expensive and time-consuming for individual AM practitioners, which severely limits the deployment of semantic segmentation in a data-scarce production environment. Similar data may be readily available with other AM practitioners that cannot be pooled together for conventional centralized learning (CL) due to its sensitive nature or conflicts of interest. This paper develops a federated learning (FL)-based method to simultaneously alleviate the constraints of data availability and data privacy. A U-Net architecture is created for semantic segmentation and is trained under the FL framework. The effectiveness of the developed FL-based semantic segmentation approach is demonstrated using case studies on layer-wise images from the laser powder bed fusion process. Results show that the proposed technique achieves a comparable defect detection performance with CL, which shares data among manufacturers/clients but does not preserve data privacy, and significantly outperforms individual learning, where each manufacturer trains a model using its own data. Additionally, the impact of data distribution across clients, incentives to participate in FL, and the learning dynamics of FL are discussed in detail. It is found that data diversity within and across clients improves FL performance, and FL does not involve a significantly higher training cost compared to CL. Lastly, transfer learning is shown to enhance FL generalizability, thus allowing more manufacturers with heterogeneous machines or technologies to benefit from participating in a data federation. Overall, this work puts forth FL as a promising paradigm for privacy-preserving collaborative ML in AM process control.",
110,Knowledge graph embedding learning system for defect diagnosis in additive manufacturing,"Since additive manufacturing involves complex physical processes and is influenced by many process parameters, it is challenging to manufacture defect-free products. To explore the causes of defects and obtain better product quality, exploring the relations among these factors is necessary. The knowledge graph is a powerful technique to express the relationships between entities and has been applied to many real-world tasks, such as disease diagnosis, recommendation systems, and traffic prediction. In this paper, a novel knowledge graph embedding learning system is presented, in which a designed knowledge graph ontology for AM and fact triples collected from the literature are utilized for the construction of a knowledge graph for defect diagnosis in additive manufacturing (KDDAM). A relational enhanced graph convolutional network is proposed to uncover new hidden relations among parameters, effects, defects, and product quality in the KDDAM. To validate the performance of the proposed model, we conducted many experiments on KDDAM and compared it with other baseline and state-of-the-art models. Our model yielded better results in two traditional link prediction metrics, with an MRR of 0.316 and 0.7, respectively. In addition, a case study shows that our model can discover new causes of defects to help us optimize the process.",
111,Geometrical defect detection for additive manufacturing with machine learning models,"This study proposed a scheme based on Machine Learning (ML) models to detect geometric defects of additively manufactured objects. The ML models are trained with synthetic 3D point clouds with defects and then applied to detect defects in actual production. Using synthetic 3D point clouds rather than experimental data could save a huge amount of training time and costs associated with many prints for each design. Besides distance differences of individual points between source and target point clouds, this scheme uses a new concept called “patch” to capture macro-level information about nearby points for ML training and implementation. Numerical comparisons of prediction results on experimental data with different shapes showed that the proposed scheme outperformed the existing Z-difference method in the literature. Five ML methods (Bagging of Trees, Gradient Boosting, Random Forest, K-nearest Neighbors and Linear Supported Vector Machine) were compared under various conditions, such as different point cloud densities and defect sizes. Bagging and Random Forest were found the two best models regarding predictability; and the right patch size was found to be at 20. The proposed ML-based scheme is applicable to in-situ defect detection during additive manufacturing with the aid of a proper 3D data acquisition system.",
112,A study on power-controlled wire-arc additive manufacturing using a data-driven surrogate model,"Wire-arc additive manufacturing (WAAM) provides an alternative for the production of various metal products needed in medium to large batch sizes due to its high deposition rates. However, the cyclic heat input in WAAM may cause local overheating. To avoid adverse effects on the performance of the part, interlayer dwelling and active cooling are used, but these measures increase the process time. Alternatively, the temperature during the WAAM process could be controlled by optimizing the welding power. The present work aims at introducing and implementing a novel temperature management approach by adjusting the weld-bead cross-section along with the welding power to reduce the heat accumulation in the WAAM process. The temperature evolution during welding of weld beads of different cross-sections is investigated and a database of the relation between optimal welding power for beads of various sizes and different pre-heating temperatures was established. The numerical results are validated experimentally with a block-shaped geometry. The results show that by the proposed method, the test shape made was welded with lower energy consumption and process time as compared to conventional constant-power WAAM. The proposed approach efficiently manages the thermal input and reduces the need for pausing the process. Hence, the defects related to heat accumulation might be reduced, and the process efficiency increased.",
113,On the laser additive manufacturing of high-entropy alloys: A critical assessment of in-situ monitoring techniques and their suitability,"High-entropy alloys (HEAs) have gained increasing attention from the industrial and scientific communities due to their extraordinary thermo-physical properties. Introducing the laser additive manufacturing (LAM) technique as a viable fabrication process of HEAs provides many advantages over traditional methods. One of the main challenges facing widespread industrial utilization of LAM is the limited ability to monitor and predict various types of defects during the printing process. Several operando (in-situ) monitoring techniques have been developed to detect failure when printing commonly used LAM alloys, such as stainless steel, titanium, and nickel alloys. The adaptability and effectiveness of these techniques to LAM of HEAs have neither been reviewed nor established. In this work, we highlight the unique properties of HEAs, discuss current traditional fabrication methods of HEAs, and present recent advances in LAM of HEAs and the advantages over traditional techniques. In addition, we present a comprehensive review of the current in-situ monitoring techniques applied in LAM for commonly used alloys, followed by a critical assessment of the adaptability of these techniques to the LAM of HEAs. Since HEAs are composed of multiple constituents in varying proportions with a variable size distribution, morphology, and melting temperature, the heat distribution at the laser-material regime fluctuates, resulting in a complex thermal gradient with a non-uniform melt pool morphology and the generation of corresponding defects. Existing in-situ techniques are not explicitly designed to handle such a complex thermal distribution, and their effectiveness can be compromised. Therefore, conducting this critical review and assessment is urgently needed. Besides, a novel in-situ monitoring technique design has been proposed based on the difficulties identified during literature analysis.",
114,CenterNet-based defect detection for additive manufacturing,"Additive manufacturing (AM) has been widely used in the fabrication of optical components. However, surface defects generated during the AM process have an adverse effect on surface quality. Although some studies have explored the defect features based on the processing of information including images, acoustic signals, thermal history, etc., they focus mainly on defect classification or one type of defect detection. Over recent years, convolution neural networks have displayed promising performance in object detection in images in various fields. Therefore, in this paper, to detect and characterize surface defects more comprehensively and accurately, a novel defect detection model based on CenterNet is presented to extract the defect features, including type, location and count simultaneously, in which there are four output heads to predict heatmaps, object size, local offset, and density map, respectively. Moreover, count loss is added in the original objective function to boost the detection performance. To perform the model validation, surface defect dataset is captured through scanning electron microscope on the surfaces of the workpiece made of 316L fabricated by AM. A series of experiments was conducted and the proposed model achieved better detection accuracy on defect dataset compared with other state-of-the-art models.",
115,Toward online layer-wise surface Morphology measurement in additive manufacturing using a deep learning-based approach,"Layer-wise surface morphology information plays a critical role in the quality monitoring and control of additive manufacturing (AM) processes. 3D scan technologies can provide effective means to obtain accurate surface morphological data. However, most of the existing 3D scan technologies are time consuming due to either contact mode or algorithm complexity, which are not capable of obtaining the surface morphology data in an online manner during the printing process. To implement online layer-wise surface morphological data acquisition in AM processes, one practical solution is to model the correlation between 2D images and 3D point cloud data. In practice, since this correlation is usually highly complex due to the high dimensionality and non-linearity, it is usually impractical to find an explicit mathematical transfer function to quantify this correlation effectively. To address this issue, a deep learning-based model is developed in this study, in which a powerful deep learning algorithm, namely, convolutional neural network (CNN), is incorporated. With the trained CNN model, the 3D surface data can be predicted directly without the relatively time consuming triangulation computation by the 3D scanner. Thus, the speed of surface data acquisition and morphology measurement can be improved. To validate the effectiveness and efficiency of the proposed methodology, both simulation and real-world AM case studies were performed. The results show that the prediction accuracy using the proposed method is promising. In terms of averaged relative prediction error, it can be mostly lower than 10% in the experiments. Therefore, the proposed method has a great potential for online layer-wise surface morphology measurement in AM.",
116,Explainable AI for layer-wise emission prediction in laser fusion,"The dynamic behavior of melt pools in powder bed-based laser fusion is very challenging to model using physics-based models and conventional black-box data-driven models. Explainable Artificial Intelligence is developed in this work to advance the understanding of convoluted links of non-sequential process physics, online time series sensing data, and process anomaly (e.g., overheating in the melt pool). A Shapley Additive Explanations (SHAP)-enabled Deep Neural Network-Long Short-Term Memory (DNN-LSTM) model has been developed as a mechanism to integrate process parameter knowledge with process history information through online sensing data while providing local and global model interpretation and transparency.",
117,Physics-informed deep learning of gas flow-melt pool multi-physical dynamics during powder bed fusion,"The effect of inert gas on melt pool dynamics has been largely overlooked but is crucial for laser powder bed fusion (LPBF). Physics-based simulation models are computationally expensive while data-driven models lack transparency and need massive training data. This work presents a physics-informed deep learning (PIDL) model to accurately predict the temperature and velocity fields in the melting domain using only a small training data. The PIDL model can also learn unknown model constants (e.g., Reynolds number and Peclet number) of the governing equations. Furthermore, the robust PIDL algorithm converges very fast by enforcing physics via soft penalty constraints.",
118,A novel quality inspection method for aerosol jet printed sensors through infrared imaging and machine learning,"The quality of printed electronic sensors by aerosol jet printing (AJP) process is hard to guarantee due to an insufficient reproducibility of the AJP process. This paper proposes a novel quality inspection method to identify defects on the printed sensor by AJP process using infrared imaging and machine learning. Potentially defective regions with high temperature distributions on printed lines are estimated from the infrared imaging when the current is applied. Demanded regions for the repair are identified by a machine learning algorithm. Finally, the applicability of the proposed method has been demonstrated by repair experiments.",
119,Feature Engineering for Surrogate Models of Consolidation Degree in Additive Manufacturing,Surrogate models (SM) serve as a proxy to the physics- and experiment-based models to significantly lower the cost of prediction while providing high accuracy. Building an SM for additive manufacturing (AM) process suffers from high dimensionality of inputs when part geometry or tool-path is considered in addition to the high cost of generating data from either physics-based models or experiments. This paper engineers features for a surrogate model to predict the consolidation degree in the fused filament fabrication process. Our features are informed by the physics of the underlying thermal processes and capture the characteristics of the part’s geometry and the deposition process. Our model is learned from medium-size data generated using a physics-based thermal model coupled with the polymer healing theory to determine the consolidation degree. Our results demonstrate high accuracy (>90%) of consolidation degree prediction at a low computational cost (four orders of magnitude faster than the numerical model).,
120,Digital Twin-enabled Collaborative Data Management for Metal Additive Manufacturing Systems,"Metal Additive Manufacturing (AM) has been attracting a continuously increasing attention due to its great advantages compared to traditional subtractive manufacturing in terms of higher design flexibility, shorter development time, lower tooling cost, and fewer production wastes. However, the lack of process robustness, stability and repeatability caused by the unsolved complex relationships between material properties, product design, process parameters, process signatures, post AM processes and product quality has significantly impeded its broad acceptance in the industry. To facilitate efficient implementation of advanced data analytics in metal AM, which would support the development of intelligent process monitoring, control and optimisation, this paper proposes a novel Digital Twin (DT)-enabled collaborative data management framework for metal AM systems, where a Cloud DT communicates with distributed Edge DTs in different product lifecycle stages. A metal AM product data model that contains a comprehensive list of specific product lifecycle data is developed to support the collaborative data management. The feasibility and advantages of the proposed framework are validated through the practical implementation in a distributed metal AM system developed in the project MANUELA. A representative application scenario of cloud-based and deep learning-enabled metal AM layer defect analysis is also presented. The proposed DT-enabled collaborative data management has shown great potential in enhancing fundamental understanding of metal AM processes, developing simulation and prediction models, reducing development times and costs, and improving product quality and production efficiency.",
121,Generation and categorisation of surface texture data using a modified progressively growing adversarial network,"As machine learning becomes more popular in the precision engineering sector, the need for large datasets of measurement data increases. Due to the often manual, user dependent and labour-intensive measurement processes, collecting a large amount of data is often infeasible. It would, therefore, be desirable to collect a small amount of data on which to train a model to generate synthetic data that is representative of the real measurement data. To this end, we present an approach to numerical surface texture generation based on a progressively growing generative adversarial network. We show that by encoding height data into grayscale values within an image, the network can create realistic synthetic surface data both qualitatively and quantitatively. The proposed approach is general to any encoded surface; we demonstrate the model trained on two example datasets consisting of surfaces from different manufacturing processes and measured with different techniques. We finally present an extension to the generator model which automatically categorises the produced surfaces, allowing a surface of a desired category to be generated. Finally, we calculate the distributions of areal surface texture parameters for each type of surface and show that there is good agreement between the synthetic and real data.",
122,Autoxnomous in-situ correction of fused deposition modeling printers using computer vision and deep learning,"Fused deposition modeling, a widely used additive manufacturing process, currently faces challenges in printed part quality such as under-extrusion and over-extrusion. In this paper, a real-time monitoring and autonomous correction system is developed, where a deep learning model and a feedback loop is used to modify 3D-printing parameters iteratively and adaptively. Results show that our system is capable of detecting in-plane printing conditions and in-situ correct defects faster than the speed of a human’s response. The fundamental elements in the framework proposed can be extended to various 3D-printing technologies to reliably fabricate high-performance materials in challenging environments without human interaction.",
123,An improved fault diagnosis approach for FDM process with acoustic T emission,"The reliability and performance of additive manufacturing (AM) machines affect the product quality and manufacturing cost. Developing effective health monitoring and prognostics methods is critical to AM productivity. Yet limited work is done on machine health monitoring. Recently, the application of acoustic emission sensor (AE) to the fault diagnosis of material extrusion or fused deposition modeling process was demonstrated. One challenge in real-time process monitoring is processing the large amount of data collected by high-fidelity sensors for diagnostics and prognostics. In this paper, the efficiency of machine state identification from AE data is significantly improved with reduced feature space dimension. In the proposed method, features extracted in both time and frequency domains are combined and then reduced with the linear discriminant analysis. An unsupervised density based clustering method is applied to classify and recognize different machine states of the extruder. Experimental results show that the proposed approach can effectively identify machine states of the extruder even within a much smaller feature space.",
124,Machine learning based track height prediction for complex tool paths in direct metal deposition,"The tooling industry persistently demands for advanced techniques to boost the tools performances over their lifecycle. Direct Metal Deposition (DMD) presents key opportunities in the tool refurbishment. However, the typical tool paths via DMD consist of alternated smooth segments and sharp corners. Here, the fluctuation of energy density and powder quantities often cause critical geometrical deviations to the tool restored sections. This work presents a novel machine learning based prediction approach that characterizes paths using features associated to process parameters and performed geometry. The benefits of the approach have been validated on toolpaths, which typically characterize a tool refurbishment process.",
125,Simulation-guided feedforward-feedback control of melt pool temperature in directed energy deposition,"High-performance closed-loop control systems are crucial to process stability and part quality in additive manufacturing processes. In this work, a simulation-guided feedforward-feedback control framework is developed for the directed energy deposition process to effectively control the melt pool temperature. The developed framework consists of two stages: offline iterative finite element simulation for feedforward control and online photodiode-based temperature monitoring for feedback control. The experimental results show that the feedforward-feedback control method can significantly improve the control performance when compared to the conventional feedback control method.",
126,Interlayer closed-loop control of forming geometries for wire and arc additive manufacturing based on fuzzy-logic inference,"The deposition process of wire and arc additive manufacturing (WAAM) is usually planned based on a bead geometry model (BGM), which represents the relationship between bead geometries (e.g. width, height) and required deposition parameters. However, the actual deposition situation may deviate from the one in which the BGM is built, such as varied heat dissipation conditions, resulting in morphological changes of deposited beads and geometrical errors in the formed parts. In this paper, a novel control mechanism for enhancing the fabrication accuracy of WAAM based on fuzzy-logic inference is proposed. It considers the geometrical errors measured on already deposited layers and deposition context to adjust deposition parameters of beads in the subsequent layer, forming an interlayer closed-loop control (ICLC) mechanism. This paper not only presents the theoretical fundamentals of the ICLC mechanism but also reports the technical details about utilizing this mechanism to control the forming height of multi-layer multi-bead (MLMB) components. A fuzzy-logic inference machine was applied as the core component for calculating speed change of bead deposition based on height error and previously applied change. In terms of validation, the effectiveness of the proposed control mechanism and the implemented controller was investigated through both simulative studies and real-life experiments. The fabricated cuboid blocks showed good accuracy in height with a maximum error of 0.20 mm. The experimental results implied that the proposed ICLC approach facilitates deposition continuity of WAAM, and thus enables process automation for robotic manufacturing.",
127,Fast surrogate modeling using dimensionality reduction in model inputs and field output: Application to additive manufacturing,"A novel approach to surrogate modeling motivated by recent advancements in parameter dimension reduction is proposed. Specifically, the approach aims to speed-up surrogate modeling for mapping multiple input variables to a field quantity of interest. Computational efficiency is accomplished by first identifying principal components (PC) and corresponding features in the output field data. A map from inputs to each feature is considered, and the active subspace (AS) methodology is used to capture their relationship in a low-dimensional subspace in the input domain. Thus, the PCAS method accomplishes dimension reduction in the input as well as the output. The method is demonstrated on a realistic problem pertaining to variability in residual stress in an additively manufactured component due to the stochastic nature of the process variables and material properties. The resulting surrogate model is exploited for uncertainty propagation, and identification of stress hotspots in the part. Additionally, the surrogate model is used for global sensitivity analysis to quantify relative contributions of the uncertain inputs to stress variability. Our findings based on the considered application are indicative of enormous potential for computational gains in such analyses, especially in generating training data, and enabling advancements in control and optimization of additive manufacturing processes.",
128,"Machine learning surrogate modeling toward the design
of lattice-structured heat sinks fabricated by additive manufacturing","Metal additive manufacturing (AM) enables the fabrication of lattice-structured heat sinks with enhanced heat transfer properties. The lattice structural features for enhancing heat transfer and suppressing pressure loss need to be clarified. To describe the structural features dominating heat transfer and pressure loss, eleven structural parameters consisting of three groups, namely the area, hydraulic diameter, and effective flow path, are proposed and used as inputs for the neural network (NN) surrogate model. The surrogate model precisely and quickly predicts the heat transfer property and pressure loss simulated by computational fluid dynamics. The random forest feature importance is used to select necessary and sufficient structural features. Four parameters describing the bottleneck in the flow pathway, surface area, and intricate structures are selected. Even when only the selected four parameters are used, the NN model maintains a high prediction performance, suggesting that the four parameters are sufficient for describing the heat transfer and pressure loss. Four parameters are used to discuss the design concept for lattice-structured heat sinks. An appropriately intricate lattice structure exhibits improved heat transfer and reduced pressure loss compared to a simple lattice structure. This study provides new insights into the design of lattice-structured heat sinks fabricated by AM.",
129,A framework for multi-objective optimisation of 3D part-build orientation with a desired angular resolution in additive manufacturing processes,"In additive manufacturing processes, the part build orientation (PBO) is one of the most important factors that can affect the characteristics of the quality product such as the amount of support structure and the surface roughness. In most previous methods, the optimal PBO cannot be determined with high precision and accuracy in 3D space. In this paper, to find the precise and accurate optimal PBO with a desired angular accuracy, a new Taguchi-based method, called the Zooming-Taguchi method, is proposed. The proposed simulation-based method can precisely find the optimal PBO in absence of the noise effects. In order to find the optimal PBO with the desired angular resolution, the zooming procedure is iteratively carried out on factor levels through a clustering strategy. Finally, to validate the proposed method, two case studies are considered and the obtained results are compared with conventional methods in the literature and the experimental results.",
130,Multidisciplinary design optimization in design for additive manufacturing,"Design for additive manufacturing (AM) involves decision making in various design domains, including product design, material selection, and process planning. In practice, engineers typically adopt a sequential design process to optimize these design domains in consecutive order. However, coupling factors, e.g. shared variables, related constraints, and conflicting objectives, are not sufficiently considered within the sequential design process, resulting in an inefficient workflow and suboptimal design solutions. To address the above issues, this paper proposes a multidisciplinary design optimization framework to simultaneously optimize different domains, which enables rapid exploration and complete exploitation of the AM design space under complex constraints. More specifically, the proposed framework is based on the concurrent optimization method, which coordinates the optimization of different design domains by allowing an automated exchange of design information. Also, the framework utilizes the surrogate modeling approach to approximate high-fidelity simulations for facilitating the iterative process. The effectiveness of the proposed framework is validated with two examples, a plate with a hole design and a hook design, which involve multiple design objectives from both process and structure domains, i.e. the print time, print area, strain energy, and maximum von Mises stress.",
131,Optimization of surface roughness and dimensional accuracy in LPBF additive manufacturing,"Laser powder bed fusion (LPBF) is one of the most promising additive manufacturing technologies. It has been utilized in the high level and stringent requirements fields such as aerospace and biomedicine industries. However, compared to subtractive manufacturing, the relatively poor surface finish and dimensional accuracy of the LPBF part hamper its widespread applications. In this work, a data-driven framework is proposed to obtain optimal process parameters of LPBF to get satisfactory surface roughness and dimensional accuracy. The effects of key process parameters on the surface roughness and dimensional accuracy are analyzed. Specifically, a machine learning technique is defined to reflect the dimensional accuracy and the surface roughness of the as-built products under different combinations of process parameters. Considering the limited experimental data, a machine learning model is introduced to predict the surface roughness and dimensional accuracy in the whole process parameters space. Then the predicted value is considered as an objective value when using the whale optimization algorithm (WOA) to search the global optimal process parameters. In the verification experiments, LPBF parts with better surface finish and dimensional accuracy were obtained with optimized process parameters which indicates that the optimized results are consistent with the experimental results.",
132,Image analysis-based closed loop quality control for additive manufacturing T with fused filament fabrication,"Additive manufacturing (AM) is a powerful technology for fabrication of components with complex geometries using a variety of materials. However, one of the major challenges in the AM industry is how to ensure product quality and consistency by detecting and then mitigating the defects, which otherwise can severely deteriorate the quality of AM products and even the sustainability of AM technology. Although optimizing machine parameter settings offline and post-processing of AM products can improve the quality, the effects may be still limited, particularly for the parts with complex geometries. The objective of this study is to develop an image-based closed-loop quality control system for a typical AM process, namely, fused filament fabrication (FFF). This system is implemented by a customized online image acquisition system with a proposed image diagnosis-based feedback quality control method. Based on this novel approach, the typical quality issues can be addressed by efficient and effective defect mitigation via online automatic machine parameter adjustment. The case studies based on an actual FFF platform demonstrate the effectiveness and applicability of the proposed approach.",
133,Investigation of process-structure-property relationships in polymer T extrusion based additive manufacturing through in situ high speed imaging and thermal conductivity measurements,"Additive manufacturing has gained significant research attention due to multiple advantages over traditional manufacturing technologies. A fundamental understanding of the relationships between process parameters, microstructure and functional properties of built parts is critical for optimizing the additive manufacturing process and building parts with desired properties. This is also critical for a multi-functional part where the process needs to be optimized with respect to disparate performance requirements such as mechanical strength and thermal conductivity. This paper presents in situ high speed imaging and build-direction thermal conductivity measurements of polymer extrusion based additively manufactured parts in order to understand the effect of process parameters such as raster speed, infill percentage and layer height on build-direction thermal conductivity. Measurements of thermal conductivity using a one-dimensional heat flux method are correlated with in situ process images obtained from a high speed camera as well as cross section images of the built part. Results indicate strong dependence of build-direction thermal conductivity on raster speed, layer thickness and infill percentage, which is corroborated by high speed imaging of the printing process at different values of these process parameters. Key trade-offs between process throughput and thermal properties are also identified. In addition to enhancing our fundamental understanding of polymer extrusion based additive manufacturing and its influence on thermal properties of built parts, results presented here may facilitate process optimization towards parts with desired thermal and multi-functional properties.",
134,In-situ optimization of thermoset composite additive manufacturing via deep learning and computer vision,"With the advent of extrusion additive manufacturing (AM), fabrication of high-performance thermoset composites without the need of tooling has become a reality. However, finding an optimal set of printing parameters for these thermoset composites during extrusion requires tedious experimentation as composite ink properties can vary significantly with respect to environmental parameters such as temperature and relative humidity. Addressing this challenge, this study presents a novel optimization framework that utilizes computer vision and deep learning (DL) to optimize the calibration and printing processes of thermoset composite AM. Unlike traditional DL models where printing parameters are determined prior to printing, our proposed framework dynamically and autonomously adjusts the printing parameters during extrusion. A novel DL integrated extrusion AM system is developed to determine the optimal printing parameters including print speed, road width, and layer height for a given composite ink. This closed loop system is consisted of a computer communicating with an extrusion AM system, a camera to perform in-situ imaging and several high accuracy convolution neural networks (CNNs) selecting the ideal process parameters for composite AM. The results show that our proposed process optimization framework was able to autonomously determine these parameters for a carbon fiber-composite ink. Consequently, specimens with complex geometries could be fabricated without visible defects and with maximum fiber alignment and thus enhancing the mechanical performance of the specimen’s composite material. Moreover, our proposed framework minimizes a labor-intensive procedure required to additively manufacture thermoset composites by optimizing the extrusion process without any user intervention.",
135,Optimization of process parameters and evaluation of surface roughness for 3D printed nylon-aramid composite,"Additive Manufacturing (AM) is a latest technology of manufacturing of products by layer over layer deposition. Fused Deposition Modelling (FDM) is a widely used technique amongst the AM technology due its easier operating commands hassle-free pre-processing and post-processing stages. The current investigation is focused on the FDM uses of thermoplastic as the feed material, consisting of polymer composite consisting Nylon and Aramid, which is introduced as a filament. FDM process parameters are optimized to obtain the best quality surface finish by minimizing the surface roughness. Layer thickness, print temperature, raster angle, infill pattern style and infill part density are the influencing parameters considered in this investigation. The values of these factors were taken at three levels each and the interactions between these factors were investigated for the surface finish of FDM built part. Taguchi Design of experiment was used to find the optimum factor levels, significant factors, and interactions. The results from Taguchi method showed the layer thickness of 0.2 mm, print temperature of 280 °C, raster angle of 90°, infill pattern style of tetrahedral and infill part density of 90% were optimal for improving the surface finish. The part printed for validation with optimized process parameters had resulted in the Ra value of 1.5470 µm, 2.145 µm and 1.212 µm, with an error of 1.65%, 2.10% and 1.80% at the top, side, and bottom faces, respectively. The combined objective error was achieved at 2.45%. The errors obtained is attributed to the hardware and/or the variations in the operating conditions. The study highlighted a simple but workable approach for predicting the surface roughness along various surface of FDM built parts.",
136,Multi-Objective Optimization of Additive Manufacturing Process,"This paper presents an approach to analyze the critical drawbacks and attributes of Additive Manufacturing (AM) simultaneously to find the best manufacturing parameters to fabricate the AM products. In this study, Fused Deposition Modeling (FDM) is investigated as a common AM technology. For this purpose, a multi-optimization problem is formulated according to the analysis of FDM technology. In this problem, layer thickness and part orientation are determined as the decision variables which are the important parameters of manufacturing. As objective functions, production time and material mass are considered and the surface roughness of FDM products and mechanical behavior of material are defined as the constraint functions. Different methodologies are developed to model the AM criteria according to these decision variables. To find the optimal solutions for manufacturing, Non-Dominated Sorting Genetic Algorithm-II (NSGA-II) is used. Finally, a case study highlighted the reliability of the proposed approach.",
